t_abel,num-closed
9.251700680272108,16
19.09297052154195,19
15.646258503401363,25
15.419501133786849,18
12.426303854875282,23
15.079365079365079,24
10.975056689342402,19
22.19954648526077,19
12.53968253968254,22
10.997732426303855,19
17.165532879818592,17
16.961451247165535,24
13.696145124716553,17
12.267573696145124,22
21.65532879818594,19
10.294784580498865,19
15.28344671201814,24
10.408163265306122,18
12.653061224489797,21
9.591836734693878,16
10.090702947845806,25
15.986394557823129,23
18.616780045351476,22
10.72562358276644,25
13.514739229024944,17
11.496598639455781,23
10.317460317460318,21
10.680272108843537,21
12.244897959183673,17
15.419501133786849,25
8.88888888888889,19
20.272108843537413,22
13.378684807256235,24
19.546485260770975,16
22.630385487528343,22
16.89342403628118,21
17.09750566893424,16
11.292517006802722,22
13.80952380952381,24
19.931972789115648,22
25.442176870748302,16
13.673469387755102,17
14.444444444444445,24
10.929705215419501,22
18.39002267573696,21
10.022675736961451,21
11.360544217687075,17
10.839002267573695,23
17.66439909297052,25
17.913832199546484,22
16.71201814058957,25
18.435374149659864,18
11.83673469387755,24
12.040816326530612,22
11.26984126984127,16
17.07482993197279,20
9.501133786848072,18
10.634920634920634,23
12.789115646258503,23
10.56689342403628,20
10.362811791383221,17
18.68480725623583,21
18.91156462585034,18
13.129251700680273,25
11.882086167800454,25
25.82766439909297,21
13.764172335600906,20
14.081632653061225,23
15.623582766439908,17
11.247165532879817,23
10.56689342403628,20
17.98185941043084,20
9.410430839002268,22
8.321995464852609,16
16.05442176870748,24
22.56235827664399,18
15.736961451247165,18
11.950113378684808,23
12.879818594104309,17
10.18140589569161,17
13.786848072562359,22
10.90702947845805,18
16.71201814058957,22
10.861678004535149,16
17.528344671201815,20
10.770975056689343,24
11.47392290249433,18
12.448979591836736,25
15.646258503401363,23
17.2108843537415,25
10.929705215419501,18
11.45124716553288,21
22.38095238095238,20
13.514739229024944,16
18.68480725623583,24
13.061224489795919,22
13.786848072562359,16
10.34013605442177,18
15.215419501133786,22
20.249433106575964,20
19.342403628117914,17
18.117913832199545,23
15.374149659863946,17
18.798185941043084,24
11.065759637188208,25
15.736961451247165,24
10.72562358276644,17
12.607709750566894,19
19.274376417233558,25
9.909297052154194,22
20.249433106575964,21
18.662131519274375,25
21.020408163265305,20
11.247165532879817,18
10.702947845804989,25
9.546485260770975,25
12.108843537414966,18
19.47845804988662,20
21.496598639455783,25
20.20408163265306,21
11.156462585034014,22
14.03628117913832,17
15.46485260770975,24
12.970521541950113,21
20.408163265306122,16
12.675736961451246,25
18.20861678004535,24
20.317460317460316,20
13.46938775510204,24
14.852607709750568,19
10.56689342403628,20
13.401360544217688,24
9.523809523809526,16
10.52154195011338,25
10.770975056689343,19
11.995464852607709,17
12.92517006802721,17
9.614512471655328,16
13.197278911564625,24
18.41269841269841,21
12.35827664399093,19
20.294784580498867,20
10.839002267573695,17
10.770975056689343,16
19.342403628117914,22
18.1859410430839,25
22.72108843537415,16
11.08843537414966,20
11.859410430839002,18
21.496598639455783,23
10.113378684807257,19
15.759637188208615,23
18.140589569160998,18
